WantedVehMake,WantedVehModel,WantedVehicleTrim,WantedVehYear,WantedCar,,ID,StoreID,ProspectStatus,ProspectSubStatus
Chevrolet,Trax,FWD 4dr LS,2018,2018 Chevrolet Trax,,41880327,58,Active,Sold
,,,,  ,,41864648,20330,Active,Active Lead
TOYOTA,Highlander Hybrid,,2021,2021 TOYOTA Highlander Hybrid,,41848863,58,Active,Sold
Toyota,RAV4,Hybrid XLE Premium AWD (Natl),2021,2021 Toyota RAV4,,33925619,58,Active,Sold
Porsche,Macan,AWD,2020,2020 Porsche Macan,,33878849,184,Active,Sold
,,,,  ,,33571525,20190,Lost,Lead process completed
BMW,3 Series,330i Sedan,2017,2017 BMW 3 Series,,33544643,183,Active,Sold
Porsche,Macan,Turbo AWD w/Performance Pkg,2018,2018 Porsche Macan,,34661664,184,Active,Write Up
Chevrolet,Silverado 1500,"4WD Crew Cab 143.5"" LTZ",2007,2007 Chevrolet Silverado 1500,,34633422,58,Active,Sold
Porsche,Macan,AWD,2020,2020 Porsche Macan,,34620088,184,Active,Up/Contacted
,,,,  ,,34616888,58,Active,Lost
,,,,  ,,34584530,301,Active,Active Lead
Toyota,Corolla,XLE CVT (Natl),2020,2020 Toyota Corolla,,34540550,58,Active,Sold
,,,,  ,,34530620,301,Lost,Lead process completed
Porsche,Cayenne,AWD,2021,2021 Porsche Cayenne,,34474661,184,Active,Demo Vehicle
Jeep,Patriot,4WD 4dr Sport,2016,2016 Jeep Patriot,,34469901,58,Active,Sold
,,,,  ,,34359967,769,Sold,Delivered
Toyota,Prius,5dr HB Two (Natl),2015,2015 Toyota Prius,,34345935,58,Active,Sold
,,,,  ,,34924629,769,Sold,Delivered
Toyota,Highlander,XLE AWD (Natl),2021,2021 Toyota Highlander,,34910726,58,Active,Sold
Scion,FR-S,2dr Cpe Man (Natl),2013,2013 Scion FR-S,,34895068,58,Active,Sold
Toyota,Corolla,LE CVT (Natl),2021,2021 Toyota Corolla,,34886481,58,Active,Lost
Kia,Soul,5dr Wgn Auto Base,2012,2012 Kia Soul,,34881247,58,Active,Sold
Acura,MDX,,2020,2020 Acura MDX,,34879124,20190,Sold,Delivered
Toyota,Corolla,Nightshade CVT (Natl),2021,2021 Toyota Corolla,,34875755,58,Active,Sold
Ford,Escape,4WD 4dr XLT,2012,2012 Ford Escape,,34841165,58,Active,Up/Contacted
Porsche,911 Carrera,2dr Carrera Cabriolet Tiptronic,2001,2001 Porsche 911 Carrera,,34819987,184,Active,Sold
Porsche,Macan,GTS AWD,2021,2021 Porsche Macan,,34764978,184,Active,Sold
Lexus,GS 430,4dr Sdn,2006,2006 Lexus GS 430,,34734367,184,Active,Lost
Cadillac,CTS Sedan,4dr Sdn 3.0L Luxury AWD,2012,2012 Cadillac CTS Sedan,,34718895,58,Active,Lost
BMW,X5,xDrive35i Sports Activity Vehicle,2018,2018 BMW X5,,34718063,183,Active,Lost
Toyota,Highlander Hybrid,2WD 4dr Limited w/3rd Row (Natl),2007,2007 Toyota Highlander Hybrid,,34685049,58,Active,Store Visit
,,,,  ,,34667233,339,Lost,Lead process completed
Porsche,911,Carrera Cabriolet,2021,2021 Porsche 911,,35127075,184,Active,Sold
Toyota,RAV4,XLE FWD (Natl),2021,2021 Toyota RAV4,,35123036,58,Active,Sold
Porsche,911,2dr Cabriolet 991 Carrera S,2012,2012 Porsche 911,,35115178,184,Active,Sold
,,,,  ,,35045023,20271,Bad,No intent to buy
Porsche,Macan,Turbo AWD w/Performance Pkg,2018,2018 Porsche Macan,,35042839,184,Active,Write Up
Porsche,718 Cayman,GTS 4.0 Coupe,2021,2021 Porsche 718 Cayman,,35037791,184,Active,Lost
Toyota,4Runner,Nightshade 4WD (Natl),2021,2021 Toyota 4Runner,,35027011,58,Active,Up/Contacted
Subaru,Forester,4dr CVT 2.0XT Premium,2015,2015 Subaru Forester,,34991479,58,Active,Sold
,,,,  ,,34985781,20271,Bad,Duplicate lead
BMW,X1,xDrive28i Sports Activity Vehicle,2020,2020 BMW X1,,34972295,183,Active,Sold
PORSCHE,718 BOXSTER,GTS Roadster,2018,2018 PORSCHE 718 BOXSTER,,34959236,184,Active,Sold
BMW,X2,sDrive28i Sports Activity Vehicle,2021,2021 BMW X2,,34958925,183,Active,Store Visit
Lexus,GS 430,4dr Sdn,2006,2006 Lexus GS 430,,34956329,184,Active,Lost
BMW,X7,xDrive40i Sports Activity Vehicle,2020,2020 BMW X7,,34931338,183,Active,Demo Vehicle
TOYOTA,RAV4,,2010,2010 TOYOTA RAV4,,34929729,58,Active,Sold
,,,,  ,,35437447,769,Sold,Delivered
,,,,  ,,35426023,20271,Lost,Out of market
PORSCHE,Macan,,2021,2021 PORSCHE Macan,,35425057,184,Active,Sold
,,,,  ,,35392214,20330,Lost,Lead process completed
,,,,  ,,35391655,20330,Lost,Out of market
Toyota,RAV4,LE AWD (Natl),2021,2021 Toyota RAV4,,35367888,58,Active,Up/Contacted
Porsche,Macan,S AWD,2021,2021 Porsche Macan,,35358733,184,Active,Unqualified
,,,,  ,,35315457,301,Bad,No intent to buy
Toyota,Tacoma,SR5,2018,2018 Toyota Tacoma,,35234376,58,Active,Lost
,,,,  ,,35209960,769,Sold,Delivered
Subaru,Ascent,2.4T Limited 7-Passenger,2019,2019 Subaru Ascent,,35208364,58,Active,Sold
Toyota,Land Cruiser,4WD (Natl),2017,2017 Toyota Land Cruiser,,35136176,183,Active,Sold
Porsche,Cayenne,AWD,2020,2020 Porsche Cayenne,,35135872,184,Active,Sold
,,,,  ,,35604248,769,Sold,Delivered
TOYOTA,Sienna HV,,2021,2021 TOYOTA Sienna HV,,35575749,58,Active,Sold
,,,,  ,,35571062,301,Bad,No intent to buy
TOYOTA,AVALON,,2020,2020 TOYOTA AVALON,,35570372,58,Active,Sold
,,,,  ,,35498881,769,Sold,Delivered
Porsche,Cayenne,AWD,2018,2018 Porsche Cayenne,,35498359,184,Active,Lost
,,,,  ,,35494517,20271,Bad,Bad or no contact information
PORSCHE,CAYENNE,AWD,2020,2020 PORSCHE CAYENNE,,35489615,184,Active,Sold
,,,,  ,,35480216,769,Sold,Delivered
TOYOTA,Highlander Hybrid,,2020,2020 TOYOTA Highlander Hybrid,,35478384,58,Active,Sold
PORSCHE,Macan,,2021,2021 PORSCHE Macan,,35459613,184,Active,Sold
,,,,  ,,35454805,769,Sold,Delivered
,,,,  ,,35716614,20340,Lost,Lead process completed
TOYOTA,COROLLA,,2021,2021 TOYOTA COROLLA,,35714457,58,Active,Sold
,,,,  ,,35708808,301,Bad,Bad or no contact information
Toyota,Highlander,XLE AWD (Natl),2021,2021 Toyota Highlander,,35699917,58,Active,Sold
